"","Model 1",,"Model 2",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Types (benchmark: Mezzanine)","","","",""
"Balanced","1.911","0.233**","1.478","0.195*"
"Co-investment","3.928**","0.158*","3.744**","0.149*"
"Secondaries","7.927***","0.166***","7.713***","0.150***"
"Vintage (benchmark: 2003)",,,,
"1990","0.419","0.219","0.330","0.193"
"1991","−0.031","−0.083","0.056","−0.105"
"1992","−0.347","−0.187","−0.236","−0.192"
"1993","3.444","0.385","3.523","0.378"
"1994","5.864","0.285","5.901","0.266"
"1995","3.177","0.110","3.435","0.121"
"1996","0.291","0.028","0.368","0.027"
"1997","−4.786","−0.208","−4.625","−0.196"
"1998","−6.354","−0.339**","−6.085","−0.324*"
"1999","−4.342","−0.145","−4.134","−0.133"
"2000","−6.475","−0.085","−6.207","−0.074"
"2001","0.382","0.158","0.593","0.163"
"2002","−2.768","−0.179","−2.565","−0.173"
"2004","−6.916","−0.197","−6.268","−0.157"
"2005","−9.375**","−0.280*","−9.156**","−0.277"
"2006","−10.130**","−0.297*","−10.222**","−0.314*"
"2007","−7.650**","−0.274","−7.597*","−0.281*"
"2008","−5.745","−0.200","−5.592","−0.202"
"2009","−1.547","0.025","−1.048","0.054"
"2010","0.064","−0.138","0.139","−0.140"
"2011","−2.198","−0.284*","−2.232","−0.312*"
"2012","2.814","−0.332**","2.820","−0.349**"
"2013","−1.525","−0.557***","−1.258","−0.551***"
"Region (benchmark: U.S.)",,,,
"Africa","−3.089","−0.428**","−3.533","−0.428**"
"Americas","3.136","0.396*","2.768","0.353"
"Asia","−1.378","−0.250","−1.382","−0.254"
"Australasia","7.958","0.011","8.295","0.033"
"Diversified Multi-Region","−6.420","−0.210","−6.450","−0.199"
"Europe","1.066","−0.015","1.098","−0.013"
"Middle East & Israel","−0.839","−0.046","−0.315","−0.026"
"Size Variable","","","",""
"LN(Fund Size)","−0.643*","−0.050**","",""
"Size Brackets (benchmark: <$100mn)",,,,
"$100mn_$250mn","","","−2.382","−0.146*"
"$250mn_$500mn","","","−3.149","−0.227***"
"$500mn_$1bn","","","−3.908**","−0.274***"
"$1bn_$3bn","","","−3.387**","−0.293***"
">$3bn","","","−2.378","−0.098"
"Constant","17.820***","1.914***","16.639***","1.814***"
"Fund sequence","−0.028","−0.001","−0.026","−0.001"
"F-stat","4.390***","3.771***","4.043***","3.746***"
"Adj. R-squared","0.1667","0.1456","0.1668","0.1584"
"Observations","594","570","594","570"
