"","Model 3(a)",,"Model 3(b)",,"Model 3(c)",,"Model 3(d)",,"Model 4(a)",,"Model 4(b)",,"Model 4(c)",,"Model 4(d)",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Types (b’mark: Real Estate)","","","","","","","","","","","","","","","",""
"Natural Resources","1.544","0.156**","2.296","0.188***","1.855","0.189***","1.934","0.192***","1.434","0.153**","2.187","0.186***","1.747","0.187***","1.807","0.189***"
"Vintage Brackets",,,,,,,,,,,,,,,,
"1990–2002","5.719***","0.439***","","","","","","","5.715***","0.443***","","","","","",""
"1990–2008","","","−4.318***","0.080**","","","","","","","−4.394***","0.079***","","","",""
"2003–2008","","","","","−8.000***","−0.238***","","","","","","","−8.028***","−0.241***","",""
"2007–2009","","","","","","","−2.560***","−0.041","","","","","","","−2.699***","−0.046"
"Region (benchmark: U.S.)",,,,,,,,,,,,,,,,
"Africa","−6.721***","−0.314***","−10.437***","−0.412","−9.725***","−0.491***","−7.618***","−0.437*","−6.493***","−0.306***","−10.155***","−0.400***","−9.490***","−0.481***","−7.284***","−0.423***"
"Americas","−3.559*","−0.046","−5.577***","−0.132","−4.357**","−0.133","−4.446**","−0.140","−3.643*","−0.057","−5.630***","−0.144","−4.391**","−0.143","−4.478**","−0.150*"
"Asia","0.294","−0.033","−0.343","−0.084","0.719","−0.045","−0.122","−0.078","0.070","−0.037","−0.554","−0.089*","0.533","−0.048","−0.336","−0.083*"
"Australasia","−5.208**","−0.257*","−4.626*","−0.229*","−4.698**","−0.235","−4.895**","−0.226*","−5.691**","−0.278*","−5.093**","−0.252","−5.118**","−0.257*","−5.383**","−0.250"
"Diversified Multi-Region","−4.131","0.091","−7.871","0.001","−7.305","−0.069","−5.236","−0.022","−3.877","0.114","−7.714","0.021","−7.066","−0.049","−4.976","−0.001"
"Europe","−0.924","0.011","−1.839","−0.045","−1.036","−0.032","−1.529","−0.048","−1.047","0.011","−2.004","−0.047","−1.163","−0.033","−1.676","−0.050"
"Middle East & Israel","3.520***","0.134***","−1.292*","0.066","−1.753***","−0.104***","1.383**","−0.003","5.056***","0.189***","0.344","0.135***","−0.332","−0.044","3.044***","0.065"
"Size Variable",,,,,,,,,,,,,,,,
"LN(Fund Size)","−1.975***","−0.077***","−2.039***","−0.093***","−1.696***","−0.080***","−2.064***","−0.090***","","","","","","","",""
"Size Brackets (b’mark: <$100mn)",,,,,,,,,,,,,,,,
"$100mn_$250mn","","","","","","","","","−3.202***","−0.033","−3.763***","−0.060","−3.214***","−0.056","−3.606***","−0.062"
"$250mn_$500mn","","","","","","","","","−5.338***","−0.156***","−5.505***","−0.183***","−4.780***","−0.162***","−5.617***","−0.179***"
"$500mn_$1bn","","","","","","","","","−7.318***","−0.232***","−7.828***","−0.289***","−6.655***","−0.253***","−7.834***","−0.284***"
"$1bn_$3bn","","","","","","","","","−7.805***","−0.289***","−8.016***","−0.338***","−6.905***","−0.298***","−8.101***","−0.328***"
"> $3bn","","","","","","","","","−7.176***","−0.227***","−8.021***","−0.306***","−6.348***","−0.261***","−7.779***","−0.298***"
"Constant","21.784***","1.814***","27.253***","1.988***","25.523***","2.082***","24.590***","2.041***","15.299***","1.512***","20.784***","1.631***","20.223***","1.780***","17.943***","1.698***"
"Fund sequence","0.101","−0.009","−0.161","−0.016***","−0.103","−0.022***","−0.013","−0.019***","0.063","−0.009*","−0.201","−0.017***","−0.136","−0.023***","−0.052","−0.020***"
"F-stat","12.550***","26.754***","11.285***","11.040***","21.710***","16.673***","8.753***","10.565***","9.584***","19.858***","8.754***","8.118***","16.473***","12.420***","6.871***","7.798***"
"Adj. R-squared","0.0892","0.1915","0.0802","0.0845","0.1494","0.1266","0.0617","0.0809","0.0903","0.1913","0.0823","0.0820","0.1518","0.1253","0.0636","0.0786"
"Observations","1298","1197","1298","1197","1298","1197","1298","1197","1298","1197","1298","1197","1298","1197","1298","1197"
