"","Model 3(a)",,"Model 3(b)",,"Model 3(c)",,"Model 3(d)",,"Model 4(a)",,"Model 4(b)",,"Model 4(c)",,"Model 4(d)",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Types (benchmark: Buyout)","","","","","","","","","","","","","","","",""
"Balanced","−4.315**","−0.153","−3.289*","−0.127","−4.074**","−0.103","−3.868**","−0.100","−4.435***","−0.160","−3.402**","−0.132","−4.216***","−0.110","−3.991**","−0.106"
"Co-Investment","−2.230","−0.179**","−2.998*","−0.228***","−2.032","−0.226***","−2.584","−0.237***","−1.987","−0.167**","−2.792","−0.216***","−1.805","−0.214***","−2.343","−0.225***"
"Distressed & Turnaround","−0.534","−0.115**","−1.311","−0.114**","−0.968","−0.149***","−0.759","−0.144***","−0.408","−0.107**","−1.212","−0.108**","−0.844","−0.142***","−0.638","−0.137***"
"Expansion / Late Stage","−8.134***","−0.393***","−8.002***","−0.383***","−8.116***","−0.382***","−8.031***","−0.380***","−8.126***","−0.394***","−8.010***","−0.384***","−8.118***","−0.384***","−8.030***","−0.382***"
"Growth","−2.540***","−0.094","−3.441***","−0.107*","−2.911***","−0.136**","−2.836***","−0.135**","−2.407**","−0.090","−3.335***","−0.104*","−2.783***","−0.132**","−2.706***","−0.131**"
"Mezzanine","−5.542***","−0.322***","−5.661***","−0.322***","−5.620***","−0.327***","−5.617***","−0.327***","−5.354***","−0.317***","−5.479***","−0.317***","−5.425***","−0.322***","−5.435***","−0.322***"
"Natural Resources","−2.219*","−0.124*","−2.825*","−0.140**","−2.374*","−0.151**","−2.517*","−0.154**","−2.126","−0.118*","−2.759*","−0.134*","−2.290*","−0.146**","−2.434*","−0.149**"
"Real Estate","−3.928***","−0.289***","−4.964***","−0.317***","−4.170***","−0.339***","−4.415***","−0.343***","−3.785***","−0.281***","−4.849***","−0.310***","−4.028***","−0.331***","−4.278***","−0.336***"
"Secondaries","3.053***","−0.139***","2.614***","−0.147***","2.883***","−0.159***","2.876***","−0.160***","3.191***","−0.132***","2.734***","−0.140***","3.010***","−0.153***","3.011***","−0.153***"
"Venture","−8.340***","−0.373***","−7.975***","−0.370***","−8.149***","−0.356***","−8.168***","−0.356***","−8.282***","−0.371***","−7.934***","−0.367***","−8.117***","−0.355***","−8.115***","−0.355***"
"Vintage Brackets",,,,,,,,,,,,,,,,
"1990–2002","2.783***","0.284***","","","","","","","2.792***","0.286***","","","","","",""
"1990–2008","","","−3.516***","0.214***","","","","","","","−3.590***","0.210***","","","",""
"2003–2008","","","","","−5.083***","−0.086***","","","","","","","−5.143***","−0.089***","",""
"2007–2009","","","","","","","−1.528***","−0.020","","","","","","","−1.594***","−0.023"
"Region (benchmark: U.S.)",,,,,,,,,,,,,,,,
"Africa","−1.505","−0.042","−2.505","−0.102","−1.252","−0.097","−2.068","−0.111","−1.704","−0.041","−2.745","−0.099","−1.476","−0.096","−2.269","−0.110"
"Americas","−3.672**","−0.079","−4.213***","−0.098","−3.761**","−0.111","−3.771**","−0.112","−3.536**","−0.072","−4.093***","−0.090","−3.642***","−0.104","−3.629**","−0.105"
"Asia","0.208","−0.027","−0.460","−0.060","0.297","−0.064","−0.110","−0.071","0.162","−0.027","−0.519","−0.060","0.251","−0.064","−0.156","−0.071"
"Australasia","1.223","−0.086","0.782","−0.114","1.394","−0.113","0.920","−0.120","0.971","−0.100","0.514","−0.128*","1.141","−0.127*","0.661","−0.135*"
"Diversified Multi-Region","−4.448*","−0.148*","−5.854**","−0.189**","−4.817*","−0.219**","−5.002**","−0.225**","−4.374**","−0.141","−5.808***","−0.184**","−4.736*","−0.213**","−4.927**","−0.219**"
"Europe","−0.209","−0.047","−0.532","−0.063**","−0.198","−0.066**","−0.349","−0.070**","−0.313","−0.052*","−0.644*","−0.068**","−0.308","−0.072**","−0.453","−0.075**"
"Middle East & Israel","3.990","0.091","3.184","0.020","4.512","0.038","3.525","0.020","3.905","0.083","3.102","0.012","4.442","0.031","3.449","0.013"
"Size Variable",,,,,,,,,,,,,,,,
"LN(Fund Size)","−1.502***","−0.074***","−1.503***","−0.083***","−1.376***","−0.077***","−1.525***","−0.080***","","","","","","","",""
"Size Brackets (b’mark: <$100mn)",,,,,,,,,,,,,,,,
"$100mn_$250mn","","","","","","","","","−3.133***","−0.097***","−3.295***","−0.106***","−3.082***","−0.108***","−3.200***","−0.109***"
"$250mn_$500mn","","","","","","","","","−4.359***","−0.200***","−4.505***","−0.217***","−4.156***","−0.214***","−4.482***","−0.218***"
"$500mn_$1bn","","","","","","","","","−5.939***","−0.269***","−6.012***","−0.287***","−5.684***","−0.280***","−6.019***","−0.284***"
"$1bn_$3bn","","","","","","","","","−6.776***","−0.330***","−6.809***","−0.351***","−6.450***","−0.340***","−6.844***","−0.345***"
"> $3bn","","","","","","","","","−5.933***","−0.268***","−6.160***","−0.321***","−5.282***","−0.294***","−6.128***","−0.308***"
"Constant","23.596***","2.104***","28.059***","2.114***","26.077***","2.299***","23.361***","2.285***","18.903***","1.849***","23.541***","1.829***","21.965***","2.038***","20.635***","2.013***"
"Fund sequence","0.055","−0.001","−0.077","−0.003","−0.004","−0.007**","0.004","−0.007**","0.037","−0.002","−0.096*","−0.004","−0.021","−0.008**","−0.013","−0.008**"
"F-stat","17.056***","24.329***","17.935***","19.371***","23.523***","15.773***","15.361***","14.835***","15.157***","21.271***","16.000***","16.916***","20.762***","14.075***","13.762***","13.234***"
"Adj. R-squared","0.0630","0.0930","0.0662","0.0747","0.0861","0.0610","0.0567","0.0574","0.0664","0.0966","0.0700","0.0775","0.0902","0.0646","0.0602","0.0606"
"Observations","4781","4549","4781","4549","4781","4549","4781","4549","4781","4549","4781","4549","4781","4549","4781","4549"
